age,M Spline,S Spline,L Spline
49.25,0.012979264,-0.042389701,0
49.5,0.013581824,-0.042863167,0
49.75,0.014177927,-0.043331989,0
50,0.014766048,-0.043795027,0
50.25,0.015344661,-0.044251141,0
50.5,0.015912242,-0.044699189,0
50.75,0.016467266,-0.04513803,0
51,0.017008206,-0.045566524,0
51.25,0.017533539,-0.04598353,0
51.5,0.018041739,-0.046387907,0
51.75,0.018531281,-0.046778514,0
52,0.019000639,-0.047154211,0
52.25,0.019448289,-0.047513857,0
52.5,0.019872744,-0.047856291,0
52.75,0.020273444,-0.048179888,0
53,0.020650775,-0.048482551,0
53.25,0.021005166,-0.048762159,0
53.5,0.021337044,-0.049016592,0
53.75,0.021646839,-0.049243729,0
54,0.021934979,-0.049441451,0
54.25,0.022201893,-0.049607637,0
54.5,0.02244801,-0.049740168,0
54.75,0.022673757,-0.049836922,0
55,0.022879563,-0.049895781,0
55.25,0.023065857,-0.049914623,0
55.5,0.023233068,-0.049891329,0
55.75,0.023381624,-0.049823778,0
56,0.023511954,-0.04970985,0
56.25,0.023624486,-0.049547426,0
56.5,0.023719648,-0.049334384,0
56.75,0.02379787,-0.049068606,0
57,0.02385963,-0.048748199,0
57.25,0.023905646,-0.048372361,0
57.5,0.023936705,-0.047940607,0
57.75,0.023953597,-0.047452455,0
58,0.023957108,-0.046907423,0
58.25,0.023948027,-0.046305027,0
58.5,0.023927141,-0.045644784,0
58.75,0.02389524,-0.044926212,0
59,0.02385311,-0.044148827,0
59.25,0.02380154,-0.043312147,0
59.5,0.023741319,-0.042415688,0
59.75,0.023673233,-0.041458969,0
60,0.023598071,-0.040441505,0
60.25,0.023516621,-0.039362815,0
60.5,0.023429671,-0.038222414,0
60.75,0.023338009,-0.037019822,0
61,0.023242423,-0.035754553,0
61.25,0.023143688,-0.03442614,0
61.5,0.023042052,-0.033034654,0
61.75,0.022937071,-0.031580881,0
62,0.022828255,-0.030065653,0
62.25,0.022715112,-0.028489803,0
62.5,0.022597152,-0.026854164,0
62.75,0.022473885,-0.02515957,0
63,0.022344819,-0.023406853,0
63.25,0.022209463,-0.021596846,0
63.5,0.022067327,-0.019730382,0
63.75,0.021917921,-0.017808294,0
64,0.021760752,-0.015831414,0
64.25,0.021595331,-0.013800577,0
64.5,0.021421167,-0.011716615,0
64.75,0.021237769,-0.009580361,0
