age,M Spline,S Spline,Lspline
45.75,0.053627113,-0.031643798,0
46,0.051900526,-0.030575146,0
46.25,0.050155656,-0.029496411,0
46.5,0.048392631,-0.028407854,0
46.75,0.046611581,-0.027309733,0
47,0.044812637,-0.026202299,0
47.25,0.04299605,-0.025085853,0
47.5,0.041162239,-0.023960769,0
47.75,0.039311623,-0.022827418,0
48,0.037444612,-0.02168616,0
48.25,0.035561607,-0.020537346,0
48.5,0.033663002,-0.019381317,0
48.75,0.031749179,-0.018218406,0
49,0.029820512,-0.017048938,0
49.25,0.027877369,-0.015873226,0
49.5,0.025920107,-0.01469158,0
49.75,0.023949075,-0.013504298,0
50,0.021964617,-0.012311671,0
50.25,0.019967067,-0.011113983,0
50.5,0.017956753,-0.009911511,0
50.75,0.015933993,-0.008704525,0
51,0.013899103,-0.007493286,0
51.25,0.011852387,-0.006278049,0
51.5,0.009794146,-0.005059065,0
51.75,0.007724671,-0.003836576,0
52,0.005644251,-0.002610817,0
52.25,0.003553166,-0.001382019,0
52.5,0.001451689,-0.000150406,0
52.75,-0.00065991,0.001083803,0
53,-0.002781368,0.002320395,0
53.25,-0.00491243,0.003559163,0
53.5,-0.007052842,0.004799905,0
53.75,-0.009202358,0.006042424,0
54,-0.011360738,0.007286528,0
54.25,-0.013527746,0.008532031,0
54.5,-0.015703149,0.009778749,0
54.75,-0.017886723,0.011026506,0
55,-0.020078246,0.012275129,0
55.25,-0.0222775,0.013524449,0
55.5,-0.024484274,0.014774302,0
55.75,-0.02669836,0.016024528,0
56,-0.028919554,0.017274972,0
56.25,-0.031147657,0.018525481,0
56.5,-0.033382474,0.019775907,0
56.75,-0.035623785,0.021026114,0
57,-0.037871298,0.022275989,0
57.25,-0.040124714,0.023525426,0
57.5,-0.04238374,0.024774323,0
57.75,-0.04464809,0.026022577,0
58,-0.046917484,0.027270092,0
58.25,-0.04919165,0.028516771,0
58.5,-0.051470322,0.029762522,0
58.75,-0.053753237,0.031007254,0
59,-0.056040141,0.032250877,0
59.25,-0.058330785,0.033493307,0
59.5,-0.060624925,0.034734459,0
59.75,-0.062922323,0.035974251,0
60,-0.065222747,0.037212604,0
60.25,-0.067525969,0.03844944,0
60.5,-0.069831766,0.039684684,0
60.75,-0.072139921,0.040918261,0
61,-0.074450222,0.042150101,0
61.25,-0.076762461,0.043380133,0
61.5,-0.079076435,0.044608289,0
61.75,-0.081391945,0.045834504,0
62,-0.083708798,0.047058712,0
62.25,-0.086026803,0.04828085,0
62.5,-0.088345775,0.049500859,0
62.75,-0.090665534,0.050718677,0
63,-0.0929859,0.051934248,0
63.25,-0.095306703,0.053147514,0
63.5,-0.097627771,0.054358421,0
63.75,-0.09994894,0.055566915,0
64,-0.102270048,0.056772944,0
64.25,-0.104590936,0.057976458,0
64.5,-0.10691145,0.059177408,0
64.75,-0.109231439,0.060375745,0
65,-0.111550754,0.061571423,0
65.25,-0.113869252,0.062764396,0
65.5,-0.116186791,0.063954621,0
65.75,-0.118503233,0.065142054,0
66,-0.120818444,0.066326654,0
66.25,-0.12313229,0.067508381,0
66.5,-0.125444644,0.068687194,0
66.75,-0.127755379,0.069863056,0
67,-0.130064373,0.07103593,0
67.25,-0.132371504,0.072205778,0
67.5,-0.134676656,0.073372567,0
67.75,-0.136979712,0.074536262,0
68,-0.139280562,0.07569683,0
68.25,-0.141579095,0.076854245,0
68.5,-0.143875203,0.078008502,0
68.75,-0.146168784,0.079159603,0
69,-0.148459734,0.080307548,0
69.25,-0.150747953,0.081452336,0
69.5,-0.153033345,0.082593969,0
69.75,-0.155315815,0.083732447,0
70,-0.157595268,0.084867772,0
70.25,-0.159871614,0.085999946,0
70.5,-0.162144764,0.087128969,0
70.75,-0.164414632,0.088254844,0
71,-0.166681133,0.089377572,0
71.25,-0.168944184,0.090497157,0
71.5,-0.171203704,0.091613599,0
71.75,-0.173459615,0.092726901,0
72,-0.175711838,0.093837067,0
72.25,-0.1779603,0.094944099,0
72.5,-0.180204925,0.096048,0
72.75,-0.182445644,0.097148773,0
73,-0.184682384,0.098246421,0
73.25,-0.186915079,0.099340949,0
73.5,-0.189143661,0.100432358,0
73.75,-0.191368065,0.101520654,0
74,-0.193588228,0.10260584,0
74.25,-0.195804087,0.10368792,0
74.5,-0.198015582,0.104766898,0
74.75,-0.200222654,0.105842778,0
75,-0.202425244,0.106915564,0
75.25,-0.204623297,0.107985262,0
75.5,-0.206816759,0.109051875,0
75.75,-0.209005574,0.110115409,0
76,-0.211189692,0.111175867,0
76.25,-0.213369061,0.112233255,0
76.5,-0.215543631,0.113287579,0
76.75,-0.217713355,0.114338842,0
77,-0.219878185,0.11538705,0
77.25,-0.222038075,0.116432208,0
77.5,-0.22419298,0.117474322,0
77.75,-0.226342857,0.118513397,0
78,-0.228487664,0.119549439,0
78.25,-0.230627358,0.120582453,0
78.5,-0.232761899,0.121612444,0
78.75,-0.234891249,0.122639419,0
79,-0.237015369,0.123663383,0
79.25,-0.239134222,0.124684343,0
79.5,-0.241247772,0.125702303,0
79.75,-0.243355983,0.126717271,0
80,-0.245458821,0.127729251,0
80.25,-0.247556253,0.128738251,0
80.5,-0.249648246,0.129744276,0
80.75,-0.25173477,0.130747332,0
81,-0.253815793,0.131747427,0
81.25,-0.255891285,0.132744566,0
81.5,-0.257961216,0.133738754,0
81.75,-0.260025561,0.13473,0
82,-0.262084298,0.135718311,0
82.25,-0.264137422,0.136703698,0
82.5,-0.266184957,0.137686177,0
82.75,-0.268226925,0.138665764,0
83,-0.270263347,0.139642476,0
83.25,-0.272294244,0.140616328,0
83.5,-0.274319637,0.141587335,0
83.75,-0.276339547,0.142555514,0
84,-0.278353995,0.143520879,0
84.25,-0.280363001,0.144483446,0
84.5,-0.282366587,0.145443229,0
84.75,-0.284364773,0.146400245,0
85,-0.286357579,0.147354507,0
85.25,-0.288345026,0.148306031,0
85.5,-0.290327134,0.14925483,0
85.75,-0.292303924,0.150200921,0
86,-0.294275416,0.151144316,0
86.25,-0.29624163,0.15208503,0
86.5,-0.298202585,0.153023078,0
86.75,-0.300158303,0.153958474,0
87,-0.302108801,0.154891231,0
87.25,-0.304054102,0.155821363,0
87.5,-0.305994223,0.156748885,0
87.75,-0.307929185,0.157673809,0
88,-0.309859007,0.158596149,0
88.25,-0.311783708,0.159515919,0
88.5,-0.313703308,0.160433132,0
88.75,-0.315617827,0.161347801,0
89,-0.317527283,0.162259939,0
89.25,-0.319431695,0.163169559,0
89.5,-0.321331082,0.164076675,0
89.75,-0.323225463,0.164981299,0
90,-0.325114858,0.165883443,0
90.25,-0.326999284,0.166783121,0
90.5,-0.328878761,0.167680344,0
90.75,-0.330753307,0.168575126,0
91,-0.33262294,0.169467478,0
91.25,-0.334487678,0.170357413,0
91.5,-0.33634754,0.171244943,0
91.75,-0.338202546,0.17213008,0
92,-0.340052714,0.173012837,0
92.25,-0.341898062,0.173893224,0
92.5,-0.343738606,0.174771254,0
92.75,-0.345574362,0.175646938,0
93,-0.347405345,0.176520288,0
93.25,-0.349231572,0.177391314,0
93.5,-0.351053069,0.178260029,0
93.75,-0.352869862,0.179126446,0
94,-0.354681976,0.179990577,0
94.25,-0.356489432,0.180852434,0
94.5,-0.35829222,0.181712024,0
94.75,-0.360090325,0.182569354,0
95,-0.361883731,0.18342443,0
