age,M Spline,S Spline,L Spline
45.75,0.026955491,-0.002429203,0
46,0.025554642,-0.00182709,0
46.25,0.024141852,-0.001224522,0
46.5,0.022717092,-0.000621554,0
46.75,0.021280337,-1.82E-05,0
47,0.019831568,0.000585371,0
47.25,0.018370767,0.001189225,0
47.5,0.016897919,0.001793275,0
47.75,0.015413021,0.002397471,0
48,0.013916223,0.003001762,0
48.25,0.012407804,0.003606091,0
48.5,0.010888041,0.004210404,0
48.75,0.009357207,0.004814648,0
49,0.007815566,0.005418772,0
49.25,0.006263378,0.006022726,0
49.5,0.004700898,0.00662646,0
49.75,0.003128373,0.007229928,0
50,0.001546046,0.007833085,0
50.25,-4.58E-05,0.008435886,0
50.5,-0.001647068,0.009038287,0
50.75,-0.003257396,0.009640248,0
51,-0.004876606,0.010241727,0
51.25,-0.00650448,0.010842685,0
51.5,-0.008140806,0.011443085,0
51.75,-0.009785375,0.012042888,0
52,-0.011437984,0.012642058,0
52.25,-0.013098433,0.013240562,0
52.5,-0.014766526,0.013838365,0
52.75,-0.016442073,0.014435433,0
53,-0.018124886,0.015031736,0
53.25,-0.019814782,0.015627242,0
53.5,-0.021511583,0.016221921,0
53.75,-0.023215111,0.016815744,0
54,-0.024925196,0.017408682,0
54.25,-0.02664167,0.018000709,0
54.5,-0.028364366,0.018591798,0
54.75,-0.030093124,0.019181922,0
55,-0.031827787,0.019771057,0
55.25,-0.033568198,0.020359179,0
55.5,-0.035314207,0.020946264,0
55.75,-0.037065664,0.021532289,0
56,-0.038822425,0.022117233,0
56.25,-0.040584347,0.022701074,0
56.5,-0.042351291,0.02328379,0
56.75,-0.044123119,0.023865363,0
57,-0.045899697,0.024445772,0
57.25,-0.047680889,0.025025,0
57.5,-0.049466466,0.025603028,0
57.75,-0.051256144,0.02617984,0
58,-0.053049639,0.02675542,0
58.25,-0.054846677,0.027329755,0
58.5,-0.05664699,0.027902827,0
58.75,-0.058450314,0.028474625,0
59,-0.060256395,0.029045133,0
59.25,-0.062064981,0.029614339,0
59.5,-0.063875828,0.03018223,0
59.75,-0.065688698,0.030748794,0
60,-0.067503357,0.031314018,0
60.25,-0.069319578,0.031877891,0
60.5,-0.071137139,0.032440402,0
60.75,-0.072955821,0.033001541,0
61,-0.074775414,0.033561296,0
61.25,-0.076595709,0.034119659,0
61.5,-0.078416504,0.034676619,0
61.75,-0.080237603,0.035232167,0
62,-0.082058811,0.035786295,0
62.25,-0.08387994,0.036338993,0
62.5,-0.085700806,0.036890254,0
62.75,-0.08752123,0.03744007,0
63,-0.089341034,0.037988433,0
63.25,-0.091160049,0.038535336,0
63.5,-0.092978106,0.039080772,0
63.75,-0.094795041,0.039624734,0
64,-0.096610696,0.040167216,0
64.25,-0.098424914,0.040708212,0
64.5,-0.100237541,0.041247716,0
64.75,-0.102048431,0.041785722,0
65,-0.103857437,0.042322224,0
65.25,-0.105664417,0.042857219,0
65.5,-0.107469234,0.0433907,0
65.75,-0.109271751,0.043922664,0
66,-0.111071836,0.044453106,0
66.25,-0.112869361,0.044982021,0
66.5,-0.1146642,0.045509406,0
66.75,-0.116456229,0.046035257,0
67,-0.118245329,0.046559571,0
67.25,-0.120031382,0.047082344,0
67.5,-0.121814275,0.047603573,0
67.75,-0.123593896,0.048123255,0
68,-0.125370135,0.048641387,0
68.25,-0.127142886,0.049157967,0
68.5,-0.128912046,0.049672992,0
68.75,-0.13067753,0.050186462,0
69,-0.132439298,0.05069838,0
69.25,-0.134197317,0.051208751,0
69.5,-0.135951557,0.051717581,0
69.75,-0.137701986,0.052224872,0
70,-0.139448577,0.05273063,0
70.25,-0.141191299,0.05323486,0
70.5,-0.142930126,0.053737566,0
70.75,-0.144665031,0.054238752,0
71,-0.146395987,0.054738424,0
71.25,-0.14812297,0.055236586,0
71.5,-0.149845955,0.055733243,0
71.75,-0.151564919,0.056228399,0
72,-0.153279838,0.05672206,0
72.25,-0.154990691,0.057214229,0
72.5,-0.156697457,0.057704912,0
72.75,-0.158400114,0.058194114,0
73,-0.160098642,0.058681838,0
73.25,-0.161793024,0.05916809,0
73.5,-0.163483238,0.059652875,0
73.75,-0.165169269,0.060136197,0
74,-0.166851098,0.060618061,0
74.25,-0.168528709,0.061098472,0
74.5,-0.170202086,0.061577434,0
74.75,-0.171871212,0.062054952,0
75,-0.173536074,0.062531032,0
75.25,-0.175196656,0.063005677,0
75.5,-0.176852945,0.063478893,0
75.75,-0.178504928,0.063950683,0
76,-0.180152592,0.064421054,0
76.25,-0.181795924,0.06489001,0
76.5,-0.183434913,0.065357555,0
76.75,-0.185069547,0.065823694,0
77,-0.186699817,0.066288432,0
77.25,-0.188325711,0.066751774,0
77.5,-0.189947219,0.067213724,0
77.75,-0.191564333,0.067674287,0
78,-0.193177044,0.068133468,0
78.25,-0.194785342,0.068591271,0
78.5,-0.19638922,0.069047702,0
78.75,-0.19798867,0.069502764,0
79,-0.199583686,0.069956463,0
79.25,-0.201174259,0.070408804,0
79.5,-0.202760384,0.07085979,0
79.75,-0.204342055,0.071309426,0
80,-0.205919265,0.071757718,0
80.25,-0.20749201,0.07220467,0
80.5,-0.209060284,0.072650286,0
80.75,-0.210624083,0.073094571,0
81,-0.212183402,0.07353753,0
81.25,-0.213738238,0.073979168,0
81.5,-0.215288587,0.074419488,0
81.75,-0.216834445,0.074858496,0
82,-0.21837581,0.075296195,0
82.25,-0.219912679,0.075732592,0
82.5,-0.221445066,0.076167691,0
82.75,-0.222972994,0.076601501,0
83,-0.224496486,0.077034028,0
83.25,-0.226015566,0.07746528,0
83.5,-0.227530256,0.077895263,0
83.75,-0.229040579,0.078323986,0
84,-0.230546559,0.078751454,0
84.25,-0.232048217,0.079177675,0
84.5,-0.233545576,0.079602656,0
84.75,-0.235038658,0.080026404,0
85,-0.236527485,0.080448924,0
85.25,-0.238012079,0.080870225,0
85.5,-0.239492462,0.081290313,0
85.75,-0.240968655,0.081709194,0
86,-0.242440679,0.082126875,0
86.25,-0.243908556,0.082543362,0
86.5,-0.245372307,0.082958662,0
86.75,-0.246831952,0.083372781,0
87,-0.248287512,0.083785727,0
87.25,-0.249739008,0.084197504,0
87.5,-0.25118646,0.084608119,0
