age,M Spline,S Spline,L Spline
46.25,-0.006724152,0.006934894,0
46.5,-0.007111954,0.008590905,0
46.75,-0.00749822,0.010267956,0
47,-0.007883047,0.011965483,0
47.25,-0.008266525,0.013682929,0
47.5,-0.008648726,0.015419752,0
47.75,-0.009029712,0.017175427,0
48,-0.00940954,0.01894945,0
48.25,-0.009788254,0.020741347,0
48.5,-0.010165848,0.022550727,0
48.75,-0.010542305,0.024377222,0
49,-0.010917616,0.026220461,0
49.25,-0.011291769,0.028080074,0
49.5,-0.011664739,0.029955659,0
49.75,-0.012036503,0.031846813,0
50,-0.012407048,0.033753141,0
50.25,-0.012776372,0.035674245,0
50.5,-0.013144495,0.037609715,0
50.75,-0.013511449,0.039559142,0
51,-0.013877272,0.041522129,0
51.25,-0.014242002,0.043498275,0
51.5,-0.014605669,0.04548716,0
51.75,-0.014968299,0.047488369,0
52,-0.015329917,0.0495015,0
52.25,-0.015690551,0.051526157,0
52.5,-0.016050213,0.053561945,0
52.75,-0.016408921,0.055608475,0
53,-0.016766695,0.057665355,0
53.25,-0.017123547,0.059732195,0
53.5,-0.017479464,0.061808616,0
53.75,-0.017834433,0.063894248,0
54,-0.018188443,0.065988728,0
54.25,-0.018541485,0.068091695,0
54.5,-0.018893538,0.070202794,0
54.75,-0.019244581,0.072321675,0
55,-0.019594596,0.074447997,0
55.25,-0.019943573,0.076581435,0
55.5,-0.020291501,0.078721676,0
55.75,-0.020638364,0.08086842,0
56,-0.020984153,0.083021379,0
56.25,-0.021328857,0.085180262,0
56.5,-0.021672465,0.087344769,0
56.75,-0.02201497,0.089514611,0
57,-0.022356371,0.091689499,0
57.25,-0.02269667,0.093869141,0
57.5,-0.023035862,0.096053223,0
57.75,-0.02337394,0.098241428,0
58,-0.023710902,0.100433447,0
58.25,-0.024046751,0.102628977,0
58.5,-0.024381503,0.104827733,0
58.75,-0.024715176,0.107029437,0
59,-0.025047792,0.109233818,0
59.25,-0.025379371,0.111440611,0
59.5,-0.025709917,0.113649561,0
59.75,-0.02603943,0.115860426,0
60,-0.026367909,0.11807297,0
60.25,-0.026695356,0.120286958,0
60.5,-0.027021783,0.122502132,0
60.75,-0.027347208,0.124718233,0
61,-0.027671649,0.126935006,0
61.25,-0.027995128,0.129152207,0
61.5,-0.028317659,0.131369604,0
61.75,-0.028639262,0.133586973,0
62,-0.028959947,0.135804097,0
62.25,-0.029279731,0.13802076,0
62.5,-0.029598631,0.140236731,0
62.75,-0.029916666,0.142451781,0
63,-0.030233855,0.144665683,0
63.25,-0.030550215,0.146878215,0
63.5,-0.030865754,0.149089165,0
63.75,-0.031180476,0.151298328,0
64,-0.031494384,0.153505505,0
64.25,-0.031807482,0.155710499,0
64.5,-0.032119781,0.157913119,0
64.75,-0.032431297,0.160113179,0
65,-0.032742042,0.162310495,0
65.25,-0.033052033,0.164504894,0
65.5,-0.033361282,0.166696219,0
65.75,-0.033669805,0.168884318,0
66,-0.033977614,0.171069048,0
66.25,-0.034284722,0.173250267,0
66.5,-0.034591137,0.175427849,0
66.75,-0.034896865,0.177601671,0
67,-0.035201913,0.179771615,0
67.25,-0.035506283,0.181937564,0
67.5,-0.035809959,0.184099415,0
67.75,-0.036112923,0.18625707,0
68,-0.036415157,0.188410433,0
68.25,-0.036716643,0.190559412,0
68.5,-0.037017357,0.192703925,0
68.75,-0.037317276,0.194843891,0
69,-0.037616377,0.196979232,0
69.25,-0.037914639,0.199109876,0
69.5,-0.038212044,0.201235755,0
69.75,-0.038508574,0.203356801,0
70,-0.03880421,0.205472949,0
70.25,-0.039098936,0.207584138,0
70.5,-0.03939273,0.209690323,0
70.75,-0.039685568,0.21179146,0
71,-0.03997743,0.213887511,0
71.25,-0.040268298,0.215978436,0
71.5,-0.040558156,0.218064202,0
71.75,-0.04084699,0.220144778,0
72,-0.04113479,0.22222013,0
72.25,-0.041421545,0.224290225,0
72.5,-0.04170725,0.226355034,0
72.75,-0.041991899,0.228414528,0
73,-0.04227549,0.230468683,0
73.25,-0.042558019,0.232517471,0
73.5,-0.042839482,0.234560872,0
73.75,-0.043119876,0.236598867,0
74,-0.043399198,0.238631437,0
74.25,-0.043677446,0.240658567,0
74.5,-0.043954622,0.242680246,0
74.75,-0.044230727,0.244696464,0
75,-0.044505761,0.246707212,0
75.25,-0.044779728,0.248712479,0
75.5,-0.045052628,0.250712261,0
75.75,-0.045324463,0.25270655,0
76,-0.045595232,0.254695343,0
76.25,-0.04586494,0.256678632,0
76.5,-0.046133591,0.258656407,0
76.75,-0.046401195,0.260628661,0
77,-0.046667758,0.262595384,0
77.25,-0.04693329,0.26455657,0
77.5,-0.047197799,0.266512217,0
77.75,-0.047461295,0.268462322,0
78,-0.047723786,0.270406884,0
78.25,-0.047985281,0.272345905,0
78.5,-0.048245787,0.274279389,0
78.75,-0.048505313,0.276207344,0
79,-0.048763867,0.278129776,0
79.25,-0.049021458,0.280046689,0
79.5,-0.049278096,0.281958087,0
79.75,-0.049533794,0.283863971,0
80,-0.049788563,0.285764342,0
80.25,-0.050042413,0.287659206,0
80.5,-0.050295355,0.289548573,0
80.75,-0.0505474,0.291432459,0
81,-0.050798558,0.29331088,0
81.25,-0.051048837,0.295183855,0
81.5,-0.051298246,0.297051402,0
81.75,-0.051546793,0.298913541,0
82,-0.051794487,0.300770291,0
82.25,-0.052041336,0.302621674,0
82.5,-0.052287345,0.304467707,0
82.75,-0.052532524,0.306308409,0
83,-0.052776879,0.308143798,0
83.25,-0.053020418,0.309973891,0
83.5,-0.053263148,0.311798707,0
