age,M Spline,S Spline,Lspline
59.75,-0.048637381,0.035332691,0
60,-0.050531888,0.036614607,0
60.25,-0.052427266,0.037894872,0
60.5,-0.05432333,0.039173416,0
60.75,-0.056219901,0.040450171,0
61,-0.058116805,0.041725073,0
61.25,-0.060013871,0.042998056,0
61.5,-0.06191093,0.044269058,0
61.75,-0.063807822,0.045538019,0
62,-0.065704385,0.04680488,0
62.25,-0.067600465,0.048069582,0
62.5,-0.06949591,0.049332071,0
62.75,-0.071390571,0.050592291,0
63,-0.073284305,0.051850189,0
63.25,-0.075176968,0.053105715,0
63.5,-0.077068425,0.054358817,0
63.75,-0.078958538,0.055609447,0
64,-0.080847178,0.056857557,0
64.25,-0.082734215,0.058103101,0
64.5,-0.084619524,0.059346035,0
64.75,-0.086502983,0.060586313,0
65,-0.088384471,0.061823895,0
65.25,-0.090263873,0.063058739,0
65.5,-0.092141073,0.064290804,0
65.75,-0.094015961,0.065520051,0
66,-0.095888429,0.066746443,0
66.25,-0.097758369,0.067969942,0
66.5,-0.099625679,0.069190513,0
66.75,-0.101490257,0.070408121,0
67,-0.103352005,0.071622733,0
67.25,-0.105210826,0.072834314,0
67.5,-0.107066628,0.074042835,0
67.75,-0.108919317,0.075248263,0
68,-0.110768804,0.076450568,0
68.25,-0.112615011,0.077649728,0
68.5,-0.114457883,0.078845736,0
68.75,-0.116297374,0.08003859,0
69,-0.118133438,0.08122829,0
69.25,-0.119966031,0.082414833,0
69.5,-0.121795108,0.083598218,0
69.75,-0.123620628,0.084778446,0
70,-0.125442549,0.085955514,0
70.25,-0.127260832,0.087129423,0
70.5,-0.129075438,0.088300173,0
70.75,-0.130886328,0.089467764,0
71,-0.132693467,0.090632196,0
71.25,-0.134496818,0.09179347,0
71.5,-0.136296347,0.092951587,0
71.75,-0.138092019,0.094106547,0
72,-0.139883802,0.095258352,0
72.25,-0.141671663,0.096407003,0
72.5,-0.143455573,0.097552501,0
72.75,-0.145235501,0.09869485,0
73,-0.147011417,0.099834049,0
73.25,-0.148783293,0.100970102,0
73.5,-0.150551101,0.10210301,0
73.75,-0.152314816,0.103232777,0
74,-0.15407441,0.104359404,0
74.25,-0.155829859,0.105482895,0
74.5,-0.157581138,0.106603252,0
74.75,-0.159328224,0.107720478,0
75,-0.161071094,0.108834577,0
75.25,-0.162809725,0.109945552,0
75.5,-0.164544097,0.111053406,0
75.75,-0.166274187,0.112158143,0
76,-0.167999977,0.113259766,0
76.25,-0.169721446,0.11435828,0
76.5,-0.171438576,0.115453689,0
76.75,-0.173151349,0.116545995,0
77,-0.174859746,0.117635204,0
77.25,-0.176563752,0.11872132,0
77.5,-0.178263349,0.119804348,0
77.75,-0.179958522,0.120884291,0
78,-0.181649256,0.121961154,0
78.25,-0.183335535,0.123034943,0
78.5,-0.185017346,0.124105661,0
78.75,-0.186694676,0.125173314,0
79,-0.18836751,0.126237907,0
79.25,-0.190035837,0.127299444,0
79.5,-0.191699644,0.128357931,0
79.75,-0.19335892,0.129413374,0
80,-0.195013653,0.130465777,0
80.25,-0.196663833,0.131515145,0
