age,M Spline,S Spline,L Spline
49.25,-0.006721385,-0.076588509,0
49.5,-0.005687908,-0.077590166,0
49.75,-0.004642403,-0.078521721,0
50,-0.003586416,-0.079382947,0
50.25,-0.002521202,-0.080173919,0
50.5,-0.00144802,-0.080894714,0
50.75,-0.000368128,-0.081545407,0
51,0.000717217,-0.082126076,0
51.25,0.001806756,-0.082636796,0
51.5,0.002899233,-0.083077644,0
51.75,0.003993389,-0.083448696,0
52,0.005087966,-0.083750029,0
52.25,0.006181707,-0.083981718,0
52.5,0.007273354,-0.08414384,0
52.75,0.00836165,-0.084236472,0
53,0.009445336,-0.084259689,0
53.25,0.010523155,-0.084213568,0
53.5,0.011593848,-0.084098185,0
53.75,0.012656186,-0.083913649,0
54,0.013709101,-0.083660264,0
54.25,0.014751587,-0.083338409,0
54.5,0.015782638,-0.082948463,0
54.75,0.016801248,-0.082490802,0
55,0.017806411,-0.081965807,0
55.25,0.018797121,-0.081373854,0
55.5,0.019772373,-0.080715322,0
55.75,0.02073116,-0.079990589,0
56,0.021672476,-0.079200034,0
56.25,0.022595316,-0.078344035,0
56.5,0.023498674,-0.07742297,0
56.75,0.024381543,-0.076437217,0
57,0.025242917,-0.075387155,0
57.25,0.026081792,-0.074273162,0
57.5,0.02689716,-0.073095617,0
57.75,0.027688055,-0.071854862,0
58,0.028453865,-0.070550926,0
58.25,0.02919417,-0.069183669,0
58.5,0.029908552,-0.067752949,0
58.75,0.030596591,-0.066258623,0
59,0.031257869,-0.064700548,0
59.25,0.031891967,-0.063078584,0
59.5,0.032498466,-0.061392587,0
59.75,0.033076949,-0.059642415,0
60,0.033626995,-0.057827926,0
60.25,0.034148186,-0.055948978,0
60.5,0.034640104,-0.054005428,0
60.75,0.03510233,-0.051997134,0
61,0.035534445,-0.049923954,0
61.25,0.035936031,-0.047785746,0
61.5,0.036306668,-0.045582367,0
61.75,0.036645969,-0.043313689,0
62,0.036953993,-0.040979775,0
62.25,0.037231136,-0.038580835,0
62.5,0.037477806,-0.036117082,0
62.75,0.037694406,-0.033588731,0
63,0.037881343,-0.030995993,0
63.25,0.038039021,-0.028339083,0
63.5,0.038167847,-0.025618214,0
63.75,0.038268225,-0.022833599,0
64,0.038340562,-0.019985452,0
64.25,0.038385262,-0.017073985,0
64.5,0.038402731,-0.014099413,0
64.75,0.038393375,-0.011061948,0
65,0.038357598,-0.007961805,0
65.25,0.038295807,-0.004799195,0
65.5,0.038208406,-0.001574334,0
65.75,0.038095797,0.001712556,0
66,0.037958235,0.005060969,0
66.25,0.037795831,0.008470104,0
66.5,0.037608683,0.011939145,0
66.75,0.037396894,0.015467277,0
67,0.037160564,0.019053686,0
67.25,0.036899793,0.022697554,0
67.5,0.036614683,0.026398068,0
67.75,0.036305334,0.030154411,0
68,0.035971846,0.033965768,0
68.25,0.035614322,0.037831324,0
68.5,0.035232861,0.041750263,0
68.75,0.034827564,0.045721771,0
69,0.034398533,0.04974503,0
69.25,0.033945867,0.053819227,0
69.5,0.033469667,0.057943546,0
69.75,0.032970039,0.062117168,0
70,0.032447232,0.066339151,0
70.25,0.031901723,0.070608363,0
70.5,0.031334004,0.074923659,0
70.75,0.030744567,0.079283893,0
71,0.030133903,0.08368792,0
71.25,0.029502505,0.088134594,0
71.5,0.028850865,0.09262277,0
71.75,0.028179474,0.097151302,0
72,0.027488826,0.101719044,0
72.25,0.026779412,0.106324851,0
72.5,0.026051725,0.110967577,0
72.75,0.025306256,0.115646077,0
73,0.024543497,0.120359205,0
73.25,0.023763941,0.125105815,0
73.5,0.02296808,0.129884762,0
73.75,0.022156405,0.1346949,0
74,0.02132941,0.13953512,0
74.25,0.020487585,0.144404384,0
74.5,0.019631423,0.149301665,0
