age,M Spline,S Spline,Lspline
45.75,0.030100079,-0.003795143,0
46,0.028352392,-0.003010387,0
46.25,0.026588275,-0.002224631,0
46.5,0.024807568,-0.001437946,0
46.75,0.023010116,-0.000650401,0
47,0.021195775,0.000137935,0
47.25,0.019364409,0.000926998,0
47.5,0.01751589,0.001716724,0
47.75,0.015650106,0.002507049,0
48,0.01376715,0.003297898,0
48.25,0.011867282,0.004089186,0
48.5,0.009950768,0.004880829,0
48.75,0.008017865,0.005672745,0
49,0.006068828,0.006464856,0
49.25,0.004103907,0.007257085,0
49.5,0.002123347,0.008049357,0
49.75,0.00012739,0.0088416,0
50,-0.001883729,0.009633744,0
50.25,-0.003909776,0.01042572,0
50.5,-0.005950523,0.011217462,0
50.75,-0.008005745,0.012008905,0
51,-0.010075221,0.012799988,0
51.25,-0.012158735,0.013590648,0
51.5,-0.014256074,0.014380826,0
51.75,-0.016367027,0.015170467,0
52,-0.018491388,0.015959512,0
52.25,-0.020628956,0.01674791,0
52.5,-0.022779531,0.017535606,0
52.75,-0.024942918,0.01832255,0
53,-0.027118923,0.019108692,0
53.25,-0.029307358,0.019893984,0
53.5,-0.031508036,0.020678379,0
53.75,-0.033720775,0.021461831,0
54,-0.035945394,0.022244298,0
54.25,-0.038181717,0.023025735,0
54.5,-0.040429568,0.023806101,0
54.75,-0.042688778,0.024585356,0
55,-0.044959178,0.02536346,0
55.25,-0.0472406,0.026140376,0
55.5,-0.049532884,0.026916067,0
55.75,-0.051835867,0.027690496,0
56,-0.054149393,0.02846363,0
56.25,-0.056473305,0.029235434,0
56.5,-0.058807451,0.030005875,0
56.75,-0.061151681,0.030774922,0
57,-0.063505845,0.031542545,0
57.25,-0.065869786,0.032308712,0
57.5,-0.068243156,0.033073397,0
57.75,-0.070625485,0.033836572,0
58,-0.073016305,0.034598212,0
58.25,-0.075415163,0.035358291,0
58.5,-0.077821613,0.036116785,0
58.75,-0.080235222,0.036873671,0
59,-0.082655565,0.037628925,0
59.25,-0.085082228,0.038382526,0
59.5,-0.087514805,0.039134452,0
59.75,-0.089952901,0.039884683,0
60,-0.092396128,0.040633199,0
60.25,-0.094844108,0.041379979,0
60.5,-0.097296472,0.042125006,0
60.75,-0.099752858,0.042868261,0
61,-0.102212913,0.043609727,0
61.25,-0.104676293,0.044349387,0
61.5,-0.10714266,0.045087224,0
61.75,-0.109611685,0.045823222,0
62,-0.112083045,0.046557367,0
62.25,-0.114556426,0.047289644,0
62.5,-0.11703152,0.048020037,0
62.75,-0.119508027,0.048748535,0
63,-0.121985652,0.049475123,0
63.25,-0.124464109,0.050199788,0
63.5,-0.126943118,0.050922519,0
63.75,-0.129422402,0.051643303,0
64,-0.131901696,0.052362129,0
64.25,-0.134380736,0.053078986,0
64.5,-0.136859266,0.053793864,0
64.75,-0.139337037,0.054506752,0
65,-0.141813804,0.05521764,0
65.25,-0.144289328,0.05592652,0
65.5,-0.146763375,0.056633383,0
65.75,-0.149235717,0.057338218,0
66,-0.151706132,0.05804102,0
66.25,-0.154174401,0.058741779,0
66.5,-0.156640311,0.059440488,0
66.75,-0.159103655,0.060137139,0
67,-0.161564228,0.060831727,0
67.25,-0.164021833,0.061524244,0
67.5,-0.166476276,0.062214683,0
67.75,-0.168927365,0.06290304,0
68,-0.171374918,0.063589309,0
68.25,-0.173818752,0.064273483,0
68.5,-0.17625869,0.064955558,0
68.75,-0.178694583,0.065635532,0
69,-0.181126344,0.066313411,0
69.25,-0.183553895,0.066989202,0
69.5,-0.185977165,0.067662911,0
69.75,-0.188396079,0.068334547,0
70,-0.190810569,0.069004114,0
70.25,-0.193220565,0.069671622,0
70.5,-0.195626,0.070337076,0
70.75,-0.19802681,0.071000484,0
71,-0.200422931,0.071661853,0
71.25,-0.202814301,0.07232119,0
71.5,-0.20520086,0.072978501,0
71.75,-0.20758255,0.073633794,0
72,-0.209959313,0.074287076,0
72.25,-0.212331093,0.074938354,0
72.5,-0.214697837,0.075587635,0
72.75,-0.217059492,0.076234926,0
73,-0.219416006,0.076880233,0
73.25,-0.22176733,0.077523564,0
73.5,-0.224113414,0.078164926,0
73.75,-0.226454213,0.078804326,0
74,-0.228789679,0.079441771,0
74.25,-0.231119767,0.080077267,0
74.5,-0.233444435,0.080710822,0
74.75,-0.23576364,0.081342442,0
75,-0.238077342,0.081972135,0
75.25,-0.240385499,0.082599908,0
75.5,-0.242688073,0.083225766,0
75.75,-0.244985027,0.083849718,0
76,-0.247276324,0.08447177,0
76.25,-0.249561928,0.085091929,0
76.5,-0.251841804,0.085710202,0
76.75,-0.25411592,0.086326595,0
77,-0.256384243,0.086941116,0
77.25,-0.258646741,0.08755377,0
77.5,-0.260903384,0.088164566,0
77.75,-0.263154141,0.08877351,0
78,-0.265398986,0.089380608,0
78.25,-0.267637888,0.089985868,0
78.5,-0.269870822,0.090589295,0
78.75,-0.272097762,0.091190897,0
79,-0.274318682,0.091790681,0
79.25,-0.276533557,0.092388653,0
79.5,-0.278742365,0.092984819,0
79.75,-0.280945083,0.093579187,0
80,-0.283141688,0.094171762,0
80.25,-0.285332159,0.094762552,0
80.5,-0.287516476,0.095351563,0
80.75,-0.289694618,0.095938802,0
81,-0.291866568,0.096524275,0
81.25,-0.294032305,0.097107989,0
81.5,-0.296191814,0.09768995,0
81.75,-0.298345076,0.098270165,0
82,-0.300492075,0.098848639,0
82.25,-0.302632799,0.099425381,0
82.5,-0.304767258,0.100000397,0
82.75,-0.306895487,0.100573699,0
83,-0.309017518,0.101145296,0
83.25,-0.311133385,0.101715197,0
83.5,-0.313243119,0.102283413,0
83.75,-0.315346752,0.102849953,0
84,-0.317444317,0.103414826,0
84.25,-0.319535846,0.103978043,0
84.5,-0.32162137,0.104539612,0
84.75,-0.323700919,0.105099542,0
85,-0.325774525,0.105657843,0
85.25,-0.32784222,0.106214524,0
85.5,-0.329904032,0.106769595,0
85.75,-0.331959993,0.107323063,0
86,-0.334010132,0.107874938,0
86.25,-0.33605448,0.108425229,0
86.5,-0.338093066,0.108973944,0
86.75,-0.340125919,0.109521092,0
87,-0.342153068,0.110066682,0
87.25,-0.344174543,0.110610723,0
87.5,-0.346190371,0.111153222,0
87.75,-0.348200582,0.111694188,0
88,-0.350205204,0.11223363,0
88.25,-0.352204265,0.112771555,0
88.5,-0.354197793,0.113307973,0
88.75,-0.356185815,0.113842891,0
89,-0.358168358,0.114376316,0
89.25,-0.360145451,0.114908258,0
89.5,-0.36211712,0.115438724,0
89.75,-0.364083391,0.115967722,0
90,-0.366044293,0.116495259,0
90.25,-0.367999852,0.117021345,0
90.5,-0.369950093,0.117545985,0
90.75,-0.371895041,0.118069188,0
91,-0.373834721,0.118590961,0
91.25,-0.375769158,0.119111312,0
91.5,-0.377698381,0.119630248,0
91.75,-0.37962242,0.120147777,0
92,-0.381541304,0.120663908,0
92.25,-0.38345506,0.121178647,0
92.5,-0.385363712,0.121692002,0
92.75,-0.387267278,0.12220398,0
93,-0.389165781,0.122714586,0
93.25,-0.39105924,0.123223828,0
93.5,-0.392947675,0.123731712,0
93.75,-0.394831107,0.124238244,0
94,-0.396709555,0.124743431,0
94.25,-0.39858304,0.12524728,0
94.5,-0.400451581,0.125749796,0
94.75,-0.402315198,0.126250986,0
95,-0.40417391,0.126750856,0
